implementation,n,run,milliseconds,checksum
CircularQueue,512,1,0.008375,130816
CircularQueue,512,2,0.008666,130816
CircularQueue,512,3,0.008584,130816
NaiveShiftQueue,512,1,0.262041,130816
NaiveShiftQueue,512,2,0.041917,130816
NaiveShiftQueue,512,3,0.041292,130816
CircularQueue,4096,1,0.081125,8386560
CircularQueue,4096,2,0.093250,8386560
CircularQueue,4096,3,0.055500,8386560
NaiveShiftQueue,4096,1,12.063375,8386560
NaiveShiftQueue,4096,2,23.648208,8386560
NaiveShiftQueue,4096,3,17.135250,8386560
CircularQueue,32768,1,0.251583,536854528
CircularQueue,32768,2,0.260208,536854528
CircularQueue,32768,3,0.247167,536854528
NaiveShiftQueue,32768,1,860.405625,536854528
NaiveShiftQueue,32768,2,873.571834,536854528
NaiveShiftQueue,32768,3,880.877584,536854528
